#,Chinese,Pinyin,English,Part of Speech,First PoS,Level,Levels
45,对不起,duìbuqǐ,I'm sorry; excuse me; I beg your pardon,动 v.,动 v.,1,1
46,多,duō,many; much; too many,形 adj.; 动 v.; 代 pron.; （数 num.; 副 adv.）,形 adj.,1,1（2）
47,多少,duōshao,how many; how much,代 pron.,代 pron.,1,1
48,儿子,érzi,son,名 n.,名 n.,1,1
49,二,èr,two; 2,数 num.,数 num.,1,1
50,饭,fàn,cooked rice; meal; fan,名 n.,名 n.,1,1
51,饭店,fàndiàn,restaurant; hotel,名 n.,名 n.,1,1
52,房间,fángjiān,room,名 n.,名 n.,1,1
53,非常,fēicháng,very; really; unusual,副 adv.,副 adv.,1,1
54,飞机,fēijī,airplane,名 n.,名 n.,1,1
55,分,fēn,minute; point,量 m.w.; （动 v.; 名 n.）,量 m.w.,1,1（3）
56,分钟,fēnzhōng,minute,量 m.w.,量 m.w.,1,1
57,高兴,gāoxìng,happy; glad; willing,形 adj.,形 adj.,1,1
58,歌,gē,song; to sing,名 n.,名 n.,1,1
59,哥哥,gēge,older brother,名 n.,名 n.,1,1
60,个,gè,general measure word,量 m.w.,量 m.w.,1,1
61,给,gěi,to give; to,动 v.; （介 prep.）,动 v.,1,1（2）
62,公司,gōngsī,company; firm; corporation,名 n.,名 n.,1,1
63,工作,gōngzuò,to work; to operate; job,动 v.; 名 n.,动 v.,1,1
64,狗,gǒu,dog,名 n.,名 n.,1,1
65,贵,guì,expensive; noble; precious,形 adj.,形 adj.,1,1
66,国,guó,country,名 n.,名 n.,1,1
67,还,hái,to return; to give back,副 adv.,副 adv.,1,1
68,孩子,háizi,child,名 n.,名 n.,1,1
69,汉语,Hànyǔ,Chinese language,名 n.,名 n.,1,1
70,汉字,Hànzì,Chinese character,名 n.,名 n.,1,1
71,好,hǎo,good; appropriate; proper,形 adj.; （副 adv.）; （动 v.）,形 adj.,1,1（2）（4）
72,好吃,hǎochī,tasty; delicious,形 adj.,形 adj.,1,1
73,好看,hǎokàn,good-looking; nice,形 adj.,形 adj.,1,1
74,好听,hǎotīng,pleasant to hear,形 adj.,形 adj.,1,1
75,好玩儿,hǎowánr,fun; interesting,形 adj.,形 adj.,1,1
76,号,hào,number; day of the month,名 n.; 量 m.w.,名 n.,1,1
77,喝,hē,to shout,动 v.,动 v.,1,1
78,和1,hé,and; with,介 prep.; 连 conj.,介 prep.,1,1
79,很,hěn,quite; very; awfully,副 adv.,副 adv.,1,1
80,后,hòu,empress; queen; monarch,名 n.,名 n.,1,1
81,回,huí,measure word for acts of a play,动 v.; （量 m.w.）,动 v.,1,1（3）
82,会1,huì,can; to know how to,动 v.,动 v.,1,1
83,火车,huǒchē,train,名 n.,名 n.,1,1
84,鸡蛋,jīdàn,egg; hen's egg,名 n.,名 n.,1,1
85,几,jǐ,how much; how many; several,代 pron.; 数 num.,代 pron.,1,1
86,家,jiā,family; home; measure word for households or businesses,名 n.; 量 m.w.; （后缀 suff.）,名 n.,1,1（3）
87,家人,jiārén,family member; servant,名 n.,名 n.,1,1
88,见,jiàn,to see; to meet; to appear,动 v.,动 v.,1,1
89,件,jiàn,measure word for things; items of clothing,量 m.w.,量 m.w.,1,1
90,饺子,jiǎozi,dumpling; pot-sticker,名 n.,名 n.,1,1
91,叫,jiào,to shout; to call; to order,动 v.; （介 prep.）,动 v.,1,1（4）
92,姐姐,jiějie,older sister,名 n.,名 n.,1,1
93,今年,jīnnián,this year,名 n.,名 n.,1,1
94,今天,jīntiān,today; at the present; now,名 n.,名 n.,1,1
95,九,jiǔ,nine; 9,数 num.,数 num.,1,1
96,觉得,juéde,to think; to feel,动 v.,动 v.,1,1
97,开,kāi,to open; to start,动 v.,动 v.,1,1
98,开车,kāichē,to drive a car,动 v.,动 v.,1,1
99,看,kàn,to see; to look at; to read,动 v.,动 v.,1,1
100,看病,kànbìng,to visit a doctor; to see a patient,动 v.,动 v.,1,1
101,看见,kànjiàn,to see; to catch sight of,动 v.,动 v.,1,1
102,可以,kěyǐ,can; may; possible,动 v.; 形 adj.,动 v.,1,1
103,课,kè,subject; course; class,名 n.,名 n.,1,1
104,口,kǒu,mouth; measure word for people,名 n.; 量 m.w.,名 n.,1,1
105,块,kuài,yuan; piece,量 m.w.,量 m.w.,1,1
106,来,lái,to come,动 v.,动 v.,1,1
107,老师,lǎoshī,teacher,名 n.,名 n.,1,1
108,了,le,completed-action particle; change-of-state particle,助 part.,助 part.,1,1
109,冷,lěng,cold,形 adj.,形 adj.,1,1
110,里,lǐ,lining; interior; inside,名 n.,名 n.,1,1
111,两1,liǎng,two,数 num.,数 num.,1,1
112,零,líng,zero; nought; zero sign,数 num.,数 num.,1,1
113,六,liù,six; 6,数 num.,数 num.,1,1
114,妈妈,māma,mama; mommy; mother,名 n.,名 n.,1,1
115,吗,ma,question particle,助 part.,助 part.,1,1
116,买,mǎi,to buy; to purchase,动 v.,动 v.,1,1
117,卖,mài,to sell,动 v.,动 v.,1,1
118,忙,máng,busy; hurriedly; to hurry,形 adj.; 动 v.,形 adj.,1,1
119,猫,māo,cat; modem,名 n.,名 n.,1,1
120,没关系,méiguānxi,it's okay; never mind,叹 interj.,叹 interj.,1,1
121,没事,méishì,it's okay; nothing's wrong,动 v.,动 v.,1,1
122,没有,méiyǒu,haven't; hasn't; doesn't exist,动 v.; 副 adv.,动 v.,1,1
123,妹妹,mèimei,younger sister; young woman,名 n.,名 n.,1,1
124,们,men,plural suffix,后缀 suff.,后缀 suff.,1,1
125,米饭,mǐfàn,rice,名 n.,名 n.,1,1
126,面包,miànbāo,bread,名 n.,名 n.,1,1
127,面条儿,miàntiáor,noodles,名 n.,名 n.,1,1
128,明年,míngnián,next year,名 n.,名 n.,1,1
129,明天,míngtiān,tomorrow,名 n.,名 n.,1,1
130,名字,míngzi,name,名 n.,名 n.,1,1
131,哪,nǎ,which,代 pron.,代 pron.,1,1
132,哪个,nǎge,which one,代 pron.,代 pron.,1,1
133,哪里,nǎlǐ,where,代 pron.,代 pron.,1,1
134,哪儿,nǎr,where,代 pron.,代 pron.,1,1
135,哪些,nǎxiē,which ones,代 pron.,代 pron.,1,1
136,那,nà,that; then,代 pron.; （连 conj.）,代 pron.,1,1（2）
137,那边,nàbiān,there; that side,代 pron.,代 pron.,1,1
138,那个,nàge,that one,代 pron.,代 pron.,1,1
139,那里,nàlǐ,there,代 pron.,代 pron.,1,1
140,那儿,nàr,there,代 pron.,代 pron.,1,1
141,那些,nàxiē,those,代 pron.,代 pron.,1,1
142,男,nán,male; man,形 adj.,形 adj.,1,1
143,男朋友,nánpéngyou,boyfriend,名 n.,名 n.,1,1
144,呢,ne,question/topic particle,助 part.,助 part.,1,1
145,能,néng,can; to be able to; might possibly,动 v.,动 v.,1,1
146,你,nǐ,you,代 pron.,代 pron.,1,1
147,你好,nǐhǎo,hello,叹 interj.,叹 interj.,1,1
148,你们,nǐmen,you (plural),代 pron.,代 pron.,1,1
149,年,nián,year,名 n.; 量 m.w.,名 n.,1,1
150,您,nín,you,代 pron.,代 pron.,1,1
151,牛奶,niúnǎi,cow's milk,名 n.,名 n.,1,1
152,女,nǚ,female; woman; daughter,形 adj.,形 adj.,1,1
153,女儿,nǚ’ér,daughter,名 n.,名 n.,1,1
154,女朋友,nǚpéngyou,girlfriend,名 n.,名 n.,1,1
155,女士,nǚshì,lady; madam; 位,名 n.,名 n.,1,1
156,朋友,péngyou,friend,名 n.,名 n.,1,1
157,便宜,piányi,cheap; inexpensive; small advantages,形 adj.,形 adj.,1,1
158,漂亮,piàoliang,pretty; beautiful,形 adj.,形 adj.,1,1
159,苹果,píngguǒ,apple,名 n.,名 n.,1,1
160,七,qī,seven; 7,数 num.,数 num.,1,1
161,起床,qǐchuáng,to get out of bed; to get up,动 v.,动 v.,1,1
162,千,qiān,thousand,数 num.,数 num.,1,1
163,前,qián,front; forward; ahead,名 n.,名 n.,1,1
164,钱,qián,money,名 n.,名 n.,1,1
165,请,qǐng,to ask; to invite; please,动 v.,动 v.,1,1
166,请问,qǐngwèn,Excuse me; may I ask...?,动 v.,动 v.,1,1
167,去,qù,to go; to go to; last,动 v.,动 v.,1,1
168,去年,qùnián,last year,名 n.,名 n.,1,1
169,热,rè,to warm up; to heat up; hot,形 adj.,形 adj.,1,1
170,人,rén,person; people,名 n.,名 n.,1,1
171,认识,rènshi,to know; to recognize; to be familiar with,动 v.,动 v.,1,1
172,日,rì,day; date; sun,量 m.w.; （名 n.）,量 m.w.,1,1（4）
173,三,sān,three; 3,数 num.,数 num.,1,1
174,商店,shāngdiàn,store; shop,名 n.,名 n.,1,1
175,上,shàng,up; upper; above,名 n.; 动 v.,名 n.,1,1
176,上班,shàngbān,to go to work,动 v.,动 v.,1,1
177,上课,shàngkè,to go to class,动 v.,动 v.,1,1
178,上午,shàngwǔ,morning,名 n.,名 n.,1,1
179,上学,shàngxué,to go to school; to attend school,动 v.,动 v.,1,1
180,少,shǎo,few; less; to lack,形 adj.; 动 v.,形 adj.,1,1
181,谁,shéi/shuí,who,代 pron.,代 pron.,1,1
182,什么,shénme,what,代 pron.,代 pron.,1,1
183,生病,shēngbìng,to fall ill,动 v.,动 v.,1,1
184,十,shí,ten; 10,数 num.,数 num.,1,1
185,时候,shíhou,time; length of time; moment,名 n.,名 n.,1,1
186,时间,shíjiān,time; period,名 n.,名 n.,1,1
187,事,shì,matter; thing; item,名 n.,名 n.,1,1
188,是,shì,to be,动 v.,动 v.,1,1
189,手机,shǒujī,cell phone; mobile phone,名 n.,名 n.,1,1
190,书,shū,book; letter; document,名 n.,名 n.,1,1
191,书店,shūdiàn,bookstore,名 n.,名 n.,1,1
192,水,shuǐ,water; river; liquid,名 n.,名 n.,1,1
193,水果,shuǐguǒ,fruit,名 n.,名 n.,1,1
194,睡,shuì,to sleep; to lie down,动 v.,动 v.,1,1
195,睡觉,shuìjiào,to go to bed; to sleep,动 v.,动 v.,1,1
196,说,shuō,to speak; to talk; to say,动 v.,动 v.,1,1
197,说话,shuōhuà,to speak; to say; to talk,动 v.,动 v.,1,1
198,四,sì,four; 4,数 num.,数 num.,1,1
199,岁,suì,years old,量 m.w.,量 m.w.,1,1
200,他,tā,he; him,代 pron.,代 pron.,1,1
201,它,tā,it,代 pron.,代 pron.,1,1
202,她,tā,she; her,代 pron.,代 pron.,1,1
203,他们,tāmen,they; them,代 pron.,代 pron.,1,1
204,它们,tāmen,they; them,代 pron.,代 pron.,1,1
205,她们,tāmen,they; them (female),代 pron.,代 pron.,1,1
206,太,tài,highest; greatest; too,副 adv.,副 adv.,1,1
207,天,tiān,day; sky,名 n.; 量 m.w.,名 n.,1,1
208,天气,tiānqì,weather,名 n.,名 n.,1,1
209,听,tīng,to listen to; to hear; to heed,动 v.,动 v.,1,1
210,听见,tīngjiàn,to hear,动 v.,动 v.,1,1
211,同学,tóngxué,classmate,名 n.,名 n.,1,1
212,外,wài,outside; in addition; foreign,名 n.,名 n.,1,1
213,外边,wàibian,outside; outer surface; abroad,名 n.,名 n.,1,1
214,玩,wán,to play; to have fun,动 v.,动 v.,1,1
215,晚,wǎn,evening; night; late,形 adj.,形 adj.,1,1
216,晚饭,wǎnfàn,evening meal; dinner; supper,名 n.,名 n.,1,1
217,晚上,wǎnshang,evening; night; in the evening,名 n.,名 n.,1,1
218,喂1,wèi,hello? (on the phone),叹 interj.,叹 interj.,1,1
219,问,wèn,to ask; to inquire,动 v.,动 v.,1,1
220,问题,wèntí,question; problem; issue,名 n.,名 n.,1,1
221,我,wǒ,I; me,代 pron.,代 pron.,1,1
222,我们,wǒmen,we; us,代 pron.,代 pron.,1,1
223,五,wǔ,five; 5,数 num.,数 num.,1,1
224,午饭,wǔfàn,lunch,名 n.,名 n.,1,1
225,喜欢,xǐhuan,to like,动 v.,动 v.,1,1
226,下,xià,down; below; next,名 n.; 动 v.; 量 m.w.,名 n.,1,1
227,下雨,xiàyǔ,to rain,动 v.,动 v.,1,1
228,下班,xiàbān,to finish work; to get off work,动 v.,动 v.,1,1
229,下课,xiàkè,class ends; to get out of class,动 v.,动 v.,1,1
230,下午,xiàwǔ,afternoon; p.m.,名 n.,名 n.,1,1
231,先生,xiānsheng,teacher; gentleman; sir,名 n.,名 n.,1,1
232,现在,xiànzài,now; at present; at the moment,名 n.,名 n.,1,1
233,想,xiǎng,to think; to think of; to devise,动 v.,动 v.,1,1
234,小,xiǎo,small; tiny; few,形 adj.; 前缀 pref.,形 adj.,1,1
235,小朋友,xiǎopéngyǒu,child,名 n.,名 n.,1,1
236,小时,xiǎoshí,hour,名 n.,名 n.,1,1
237,小学,xiǎoxué,elementary school; primary school,名 n.,名 n.,1,1
238,小学生,xiǎoxuéshēng,elementary school student,名 n.,名 n.,1,1
239,些,xiē,some; a few,量 m.w.,量 m.w.,1,1
240,写,xiě,to write,动 v.,动 v.,1,1
241,谢谢,xièxie,to thank; thanks; thank you,动 v.,动 v.,1,1
242,新,xīn,new; newly; meso-,形 adj.,形 adj.,1,1
243,星期,xīngqī,week; day of the week; Sunday,名 n.,名 n.,1,1
244,星期日,xīngqīrì,Sunday,名 n.,名 n.,1,1
245,星期天,xīngqītiān,Sunday,名 n.,名 n.,1,1
246,休息,xiūxi,rest; to rest,动 v.,动 v.,1,1
247,学,xué,to learn; to study; to imitate,动 v.,动 v.,1,1
248,学生,xuéshēng,student; schoolchild,名 n.,名 n.,1,1
249,学习,xuéxí,to learn; to study,动 v.,动 v.,1,1
250,学校,xuéxiào,school,名 n.,名 n.,1,1
251,雪,xuě,snow; to wipe away,名 n.,名 n.,1,1
252,要,yào,to want; to need; to ask for,动 v.,动 v.,1,1
253,也,yě,also; too,副 adv.,副 adv.,1,1
254,一,yī,one; single; a,数 num.,数 num.,1,1
255,衣服,yīfu,clothes,名 n.,名 n.,1,1
256,医生,yīshēng,doctor,名 n.,名 n.,1,1
257,医院,yīyuàn,hospital,名 n.,名 n.,1,1
258,一半,yíbàn,half,数 num.,数 num.,1,1
259,一下,yíxià,a bit; once,数量 qty. expr.; （副 adv.）,数量 qty. expr.,1,1（4）
260,椅子,yǐzi,chair,名 n.,名 n.,1,1
261,一点儿,yìdiǎnr,a little; a bit,数量 qty. expr.,数量 qty. expr.,1,1
262,一些,yìxiē,some; a few,数量 qty. expr.,数量 qty. expr.,1,1
263,有,yǒu,to have; there is; having,动 v.,动 v.,1,1
264,有的,yǒude,some,代 pron.,代 pron.,1,1
265,有点儿,yǒudiǎnr,slightly; a little; somewhat,副 adv.,副 adv.,1,1
266,有些,yǒuxiē,some; somewhat,代 pron.; （副 adv.）,代 pron.,1,1（3）
267,雨,yǔ,rain,名 n.,名 n.,1,1
268,元,yuán,yuan,量 m.w.,量 m.w.,1,1
269,月,yuè,moon; month; monthly,名 n.,名 n.,1,1
270,再,zài,again; once more; re-,副 adv.,副 adv.,1,1
271,在,zài,at; in; to be at,动 v.; 介 prep.; 副 adv.,动 v.,1,1
272,再见,zàijiàn,goodbye; see you again later,动 v.,动 v.,1,1
273,早,zǎo,early; morning; Good morning!,形 adj.,形 adj.,1,1
274,早饭,zǎofàn,breakfast,名 n.,名 n.,1,1
275,早上,zǎoshang,early morning,名 n.,名 n.,1,1
276,怎么,zěnme,how,代 pron.,代 pron.,1,1
277,怎么样,zěnmeyàng,how; how about,代 pron.,代 pron.,1,1
278,找,zhǎo,to look for; to find,动 v.,动 v.,1,1
279,这,zhè,this,代 pron.,代 pron.,1,1
280,这边,zhèbiān,here; this side,代 pron.,代 pron.,1,1
281,这个,zhège,this one,代 pron.,代 pron.,1,1
282,这里,zhèlǐ,here,代 pron.,代 pron.,1,1
283,这儿,zhèr,here,代 pron.,代 pron.,1,1
284,这些,zhèxiē,these,代 pron.,代 pron.,1,1
285,真,zhēn,really; truly; indeed,副 adv.; （形 adj.）,副 adv.,1,1（4）
286,正在,zhèngzài,right now; in the middle of,副 adv.,副 adv.,1,1
287,只,zhī,measure word for certain animals,量 m.w.,量 m.w.,1,1
288,知道,zhīdào,to know,动 v.,动 v.,1,1
289,中国,Zhōngguó,China,名 n.,名 n.,1,1
290,中文,Zhōngwén,Chinese language,名 n.,名 n.,1,1
291,中午,zhōngwǔ,noon; midday,名 n.,名 n.,1,1
292,中学,zhōngxué,middle school,名 n.,名 n.,1,1
293,中学生,zhōngxuéshēng,middle-school student; high school student,名 n.,名 n.,1,1
294,住,zhù,to live; to dwell; to stay,动 v.,动 v.,1,1
295,桌子,zhuōzi,table; desk,名 n.,名 n.,1,1
296,字,zì,letter; symbol; character,名 n.,名 n.,1,1
297,昨天,zuótiān,yesterday,名 n.,名 n.,1,1
298,坐,zuò,to sit; to take,动 v.,动 v.,1,1
299,做,zuò,to make; to produce; to write,动 v.,动 v.,1,1
300,做饭,zuòfàn,to cook,动 v.,动 v.,1,1
301,啊,a,ah; sentence particle,助 part.,助 part.,2,2
302,爱好,àihào,to like; to enjoy; interest,动 v.; 名 n.,动 v.,2,2
303,白色,báisè,white; fig. reactionary,名 n.,名 n.,2,2
304,班,bān,class; shift; measure word for scheduled transport,名 n.; （量 m.w.）,名 n.,2,2（5）
305,帮,bāng,to help; to assist; to support,动 v.,动 v.,2,2
306,帮忙,bāngmáng,to help; to lend a hand; to do a favor,动 v.,动 v.,2,2
307,包,bāo,bag; package; to wrap,动 v.; 名 n.; 量 m.w.,动 v.,2,2
308,本子,běnzi,book; notebook; edition,名 n.,名 n.,2,2
309,比,bǐ,than; to compare,动 v.; 介 prep.,动 v.,2,2
310,笔,bǐ,pen; measure word for sums of money,名 n.; （量 m.w.）,名 n.,2,2（5）
311,别1,bié,don't,副 adv.,副 adv.,2,2
312,不错,búcuò,correct; right; not bad,形 adj.,形 adj.,2,2
313,不好意思,bùhǎoyìsi,excuse me; sorry; embarrassed,叹 interj.,叹 interj.,2,2
314,长,cháng,length; long; forever,形 adj.,形 adj.,2,2
315,车站,chēzhàn,rail station; bus stop,名 n.,名 n.,2,2
316,出,chū,to go out; to come out; to occur,动 v.,动 v.,2,2
317,出国,chūguó,to go abroad; to leave the country,动 v.,动 v.,2,2
318,出来,chūlái,to come out; to appear; to arise,动 v.,动 v.,2,2
319,出门,chūmén,to go out; to leave home,动 v.,动 v.,2,2
320,出去,chūqù,to go out,动 v.,动 v.,2,2
321,床,chuáng,bed; couch; classifier for beds,名 n.,名 n.,2,2
322,词,cí,word; statement; speech,名 n.,名 n.,2,2
323,次,cì,measure word for enumerated events,量 m.w.; （形 adj.）,量 m.w.,2,2（7-9）
324,从,cóng,from,介 prep.; （副 adv.）,介 prep.,2,2（4）
325,从小,cóngxiǎo,from childhood; from a young age,副 adv.,副 adv.,2,2
326,错,cuò,mistake; wrong; bad,形 adj.,形 adj.,2,2
327,打1,dǎ,to hit; to do,动 v.,动 v.,2,2
328,打车,dǎchē,to take a taxi; to hitch a lift,动 v.,动 v.,2,2
329,打开,dǎkāi,to open; to show; to turn on,动 v.,动 v.,2,2
330,但,dàn,but,连 conj.; （副 adv.）,连 conj.,2,2（7-9）
331,但是,dànshì,but,连 conj.,连 conj.,2,2
332,得,de,complement particle,助 part.,助 part.,2,2
333,地,de,adverbial particle,助 part.,助 part.,2,2
334,等1,děng,to wait; and so on,动 v.; （介 prep.）,动 v.,2,2（4）
335,地铁,dìtiě,subway,名 n.,名 n.,2,2
336,点2,diǎn,to order; dot; point,动 v.; （名 n.; 量 m.w.）,动 v.,2,2（4）
337,懂,dǒng,to understand; to comprehend,动 v.,动 v.,2,2
338,动,dòng,to move,动 v.,动 v.,2,2
339,饭馆,fànguǎn,restaurant,名 n.,名 n.,2,2
340,飞,fēi,to fly,动 v.,动 v.,2,2
341,高,gāo,high; tall; above average,形 adj.; 名 n.,形 adj.,2,2
342,高中,gāozhōng,high school,名 n.,名 n.,2,2
343,告诉,gàosu,to tell; to inform; to let know,动 v.,动 v.,2,2
344,个子,gèzi,height; stature; build,名 n.,名 n.,2,2
345,跟,gēn,with; and,介 prep.; 连 conj.; （名 n.; 动 v.）,介 prep.,2,2（5）
346,公交车,gōngjiāochē,public transport vehicle; town bus,名 n.,名 n.,2,2
347,过,guò,experienced-action particle,动 v.,动 v.,2,2
348,过来,guòlái,to come over; to manage; to handle,动 v.,动 v.,2,2
349,过年,guònián,to celebrate the Chinese New Year,动 v.,动 v.,2,2
350,过去1,guòqù,to go over; to pass,动 v.,动 v.,2,2
351,过,guo,experienced-action particle,助 part.,助 part.,2,2
352,还是,háishi,or; still,副 adv.; 连 conj.,副 adv.,2,2
353,黑色,hēisè,black,名 n.,名 n.,2,2
354,红茶,hóngchá,black tea,名 n.,名 n.,2,2
355,红色,hóngsè,red; revolutionary,名 n.,名 n.,2,2
356,后面,hòumiàn,the back; the rear; the last bit,名 n.,名 n.,2,2
357,花1,huā,to spend,动 v.,动 v.,2,2
358,花2,huā,flower,名 n.; （形 adj.）,名 n.,2,2（6）
359,画,huà,to draw; to paint; picture,动 v.; 名 n.,动 v.,2,2
360,坏,huài,bad; spoiled; broken,形 adj.,形 adj.,2,2
361,回来,huílái,to return; to come back,动 v.,动 v.,2,2
362,回去,huíqù,to return; to go back,动 v.,动 v.,2,2
363,机场,jīchǎng,airport,名 n.,名 n.,2,2
364,机票,jīpiào,air ticket; passenger ticket,名 n.,名 n.,2,2
365,记得,jìde,to remember,动 v.,动 v.,2,2
366,间,jiān,room; measure word for rooms,量 m.w.; （名 n.）,量 m.w.,2,2（4）
367,教,jiāo,to teach,动 v.,动 v.,2,2
368,教室,jiàoshì,classroom,名 n.,名 n.,2,2
369,介绍,jièshào,to introduce,动 v.,动 v.,2,2
370,进,jìn,to go forward; to advance; to go in,动 v.,动 v.,2,2
371,近,jìn,near; close to; approximately,形 adj.,形 adj.,2,2
372,进来,jìnlái,to come in,动 v.,动 v.,2,2
373,进去,jìnqù,to go in,动 v.,动 v.,2,2
374,经常,jīngcháng,frequently; constantly; regularly,副 adv.,副 adv.,2,2
375,酒店,jiǔdiàn,wine shop; pub; hotel,名 n.,名 n.,2,2
376,就,jiù,then; right away,副 adv.; （介 prep.）,副 adv.,2,2（7-9）
377,咖啡,kāfēi,coffee,名 n.,名 n.,2,2
378,开始,kāishǐ,to begin; beginning; to start,动 v.; 名 n.,动 v.,2,2
379,开学,kāixué,school starts; semester begins,动 v.,动 v.,2,2
380,考,kǎo,to check; to verify; to test,动 v.,动 v.,2,2
381,考试,kǎoshì,to take an exam; exam,动 v.; 名 n.,动 v.,2,2
382,可能,kěnéng,might; possible; probable,形 adj.; 名 n.; 动 v.,形 adj.,2,2
383,裤子,kùzi,trousers; pants,名 n.,名 n.,2,2
384,快,kuài,rapid; quick; speed,形 adj.; 副 adv.,形 adj.,2,2
385,快乐,kuàilè,happy; joyful,形 adj.,形 adj.,2,2
386,快要,kuàiyào,about to,副 adv.,副 adv.,2,2
387,篮球,lánqiú,basketball,名 n.,名 n.,2,2
388,累,lèi,tired; weary; to strain,形 adj.; 动 v.,形 adj.,2,2
389,离,lí,from; away from,动 v.,动 v.,2,2
390,里面,lǐmiàn,inside,名 n.,名 n.,2,2
391,楼,lóu,building; floor,名 n.,名 n.,2,2
392,路,lù,road; journey; route,名 n.,名 n.,2,2
393,路上,lùshang,on the way; on the road,名 n.,名 n.,2,2
394,旅游,lǚyóu,trip; journey; tourism,动 v.,动 v.,2,2
395,绿茶,lǜchá,green tea,名 n.,名 n.,2,2
396,绿色,lǜsè,green,名 n.; （形 adj.）,名 n.,2,2（4）
397,慢,màn,slow,形 adj.,形 adj.,2,2
398,没意思,méiyìsi,boring; not interesting,形 adj.,形 adj.,2,2
399,每,měi,every,代 pron.; （副 adv.）,代 pron.,2,2（4）
400,门,mén,gate; door; gateway,名 n.,名 n.,2,2
401,门口,ménkǒu,doorway; gate,名 n.,名 n.,2,2
402,门票,ménpiào,ticket,名 n.,名 n.,2,2
403,面1,miàn,suffix: side; aspect,后缀 suff.; （动 v.; 名 n.; 量 m.w.）,后缀 suff.,2,2（5）
404,名,míng,name; measure word for people,名 n.; 量 m.w.,名 n.,2,2
405,拿,ná,to hold; to seize; to catch,动 v.,动 v.,2,2
406,那么,nàme,so; that way,代 pron.; 连 conj.,代 pron.,2,2
407,那样,nàyàng,that way; like that,代 pron.,代 pron.,2,2
408,奶茶,nǎichá,milk tea,名 n.,名 n.,2,2
409,奶奶,nǎinai,grandma,名 n.,名 n.,2,2
410,男孩儿,nánháir,boy,名 n.,名 n.,2,2
411,鸟,niǎo,bird,名 n.,名 n.,2,2
412,女孩儿,nǚháir,girl,名 n.,名 n.,2,2
413,旁边,pángbiān,side; adjacent place,名 n.,名 n.,2,2
414,跑,pǎo,to run; to run away; to escape,动 v.,动 v.,2,2
415,跑步,pǎobù,to run; to jog,动 v.,动 v.,2,2
416,票,piào,ticket; ballot; banknote,名 n.,名 n.,2,2
417,妻子,qīzi,wife,名 n.,名 n.,2,2
418,起来,qǐlái,to get up; to stand up,动 v.,动 v.,2,2
419,前面,qiánmiàn,ahead; in front; preceding,名 n.,名 n.,2,2
420,晴,qíng,clear; fine,形 adj.,形 adj.,2,2
421,球,qiú,ball; sphere; globe,名 n.,名 n.,2,2
422,让,ràng,to let; to allow,动 v.; （介 prep.）,动 v.,2,2（4）
423,肉,ròu,meat; flesh; pulp,名 n.,名 n.,2,2
424,商场,shāngchǎng,shopping mall,名 n.,名 n.,2,2
425,上来,shànglái,to come up,动 v.,动 v.,2,2
426,上面,shàngmiàn,on top; above,名 n.,名 n.,2,2
427,上去,shàngqù,to go up,动 v.,动 v.,2,2
428,上网,shàngwǎng,to go online,动 v.,动 v.,2,2
429,身体,shēntǐ,the body; one's health; in person,名 n.,名 n.,2,2
430,生日,shēngrì,birthday,名 n.,名 n.,2,2
431,时,shí,time; o'clock,名 n.; （量 m.w.）,名 n.,2,2（6）
432,事情,shìqing,affair; matter; thing,名 n.,名 n.,2,2
433,手,shǒu,hand,名 n.,名 n.,2,2
434,手表,shǒubiǎo,wristwatch,名 n.,名 n.,2,2
435,书包,shūbāo,schoolbag; satchel; bookbag,名 n.,名 n.,2,2
436,舒服,shūfu,comfortable; feeling well,形 adj.,形 adj.,2,2
437,送,sòng,to send; to deliver; to transmit,动 v.,动 v.,2,2
438,虽然,suīrán,although,连 conj.,连 conj.,2,2
439,所以,suǒyǐ,so; therefore,连 conj.,连 conj.,2,2
440,疼,téng,hurts; sore; to love dearly,形 adj.; （动 v.）,形 adj.,2,2（6）
441,踢,tī,to kick,动 v.,动 v.,2,2
442,题,tí,question; problem,名 n.,名 n.,2,2
443,条,tiáo,"measure word for long, thin things",量 m.w.; （名 n.）,量 m.w.,2,2（5）
444,跳舞,tiàowǔ,to dance,动 v.,动 v.,2,2
445,头,tóu,head; measure word for livestock,名 n.; （量 m.w.）; （形 adj.）,名 n.,2,2（3）（5）
446,外国,wàiguó,foreign,名 n.,名 n.,2,2
447,外面,wàimiàn,outside,名 n.,名 n.,2,2
448,完,wán,to finish; to be over; whole,动 v.,动 v.,2,2
449,万,wàn,ten thousand; a great number,数 num.,数 num.,2,2
450,往,wǎng,to go; to; towards,动 v.; 介 prep.,动 v.,2,2
451,网上,wǎngshang,online,名 n.,名 n.,2,2
452,忘,wàng,to forget; to overlook; to neglect,动 v.,动 v.,2,2
453,位,wèi,measure word for people (honorific),量 m.w.,量 m.w.,2,2
454,为什么,wèishénme,why,代 pron.,代 pron.,2,2
455,希望,xīwàng,to hope; a hope; a wish,动 v.,动 v.,2,2
456,洗,xǐ,to wash; to bathe; to develop,动 v.,动 v.,2,2
457,洗手间,xǐshǒujiān,toilet; lavatory; washroom,名 n.,名 n.,2,2
458,下来,xiàlái,to come down,动 v.,动 v.,2,2
459,下面,xiàmiàn,below; under; next,名 n.,名 n.,2,2
460,下去,xiàqù,to go down; to descend; to go on,动 v.,动 v.,2,2
