#,Chinese,Pinyin,English,Part of Speech,First PoS,Level,Levels
739,空调,kōngtiáo,air conditioner,名 n.,名 n.,3,3
740,哭,kū,to cry; to weep,动 v.,动 v.,3,3
741,筷子,kuàizi,chopsticks,名 n.,名 n.,3,3
742,矿泉水,kuàngquánshuǐ,mineral water; 杯,名 n.,名 n.,3,3
743,来自,láizì,to come from; From:,动 v.,动 v.,3,3
744,蓝,lán,blue; indigo plant,形 adj.,形 adj.,3,3
745,老,lǎo,old; venerable; experienced,形 adj.; 前缀 pref.; （副 adv.）,形 adj.,3,3（4）
746,老人,lǎorén,old person; the elderly,名 n.,名 n.,3,3
747,离开,líkāi,to depart; to leave,动 v.,动 v.,3,3
748,礼物,lǐwù,gift; present,名 n.,名 n.,3,3
749,历史,lìshǐ,history,名 n.,名 n.,3,3
750,脸,liǎn,face,名 n.,名 n.,3,3
751,练,liàn,to practice; to train; to drill,动 v.,动 v.,3,3
752,练习,liànxí,to practice; exercise; drill,动 v.; 名 n.,动 v.,3,3
753,凉快,liángkuai,nice and cold; pleasantly cool,形 adj.,形 adj.,3,3
754,辆,liàng,measure word for vehicles,量 m.w.,量 m.w.,3,3
755,聊,liáo,to chat; to depend upon; temporarily,动 v.,动 v.,3,3
756,聊天儿,liáotiānr,to chat,动 v.,动 v.,3,3
757,了解,liǎojiě,to understand; to realize; to find out,动 v.,动 v.,3,3
758,邻居,línjū,neighbor; next door,名 n.,名 n.,3,3
759,留学,liúxué,to study abroad,动 v.,动 v.,3,3
760,留学生,liúxuéshēng,international student,名 n.,名 n.,3,3
761,楼梯,lóutī,stair; staircase,名 n.,名 n.,3,3
762,路边,lùbiān,curb; roadside; wayside,名 n.,名 n.,3,3
763,路口,lùkǒu,crossing; intersection,名 n.,名 n.,3,3
764,马,mǎ,horse,名 n.,名 n.,3,3
765,马路,mǎlù,street; road,名 n.,名 n.,3,3
766,马上,mǎshàng,at once; right away; immediately,副 adv.,副 adv.,3,3
767,满意,mǎnyì,satisfied; pleased,动 v.,动 v.,3,3
